"customer_id","hazard_score","baseline_hazard","hazard_group"
"0002-ORFBO",5.01909061329728,0.000385096811640781,"Medium-High"
"0003-MKNFE",6.93903760138978,0.000385096811640781,"High"
"0004-TLHLJ",8.28539177011424,0.00019389091528012,"High"
"0011-IGKFF",7.72406048651797,0.000644797027832564,"High"
"0013-EXCHZ",8.2210776189216,0.000155012759831811,"High"
"0013-MHZWF",7.05516818653763,0.000385096811640781,"High"
"0013-SMEOE",-6.33737352682879,1.49816718296528,"Low"
"0014-BMAQU",-5.39601151093973,0.260267557035998,"Low"
"0015-UOCOJ",2.68164684878192,0.000296454454927464,"Medium-Low"
"0016-QLJIS",-5.44981214822576,0.343201056051665,"Low"
"0017-DINOC",-0.722030029557078,0.0870621981502741,"Medium-Low"
"0017-IUDMW",-7.56834361119077,2.17888442246913,"Low"
"0018-NYROU",7.85077121078493,0.000229985572955397,"High"
"0019-EFAEP",-5.64965369078358,2.17888442246913,"Low"
"0019-GFNTW",-1.1656848726931,0.112521430589104,"Medium-Low"
"0020-INWCK",-7.71964519315396,1.49816718296528,"Low"
"0020-JDNXP",3.0902419331174,0.00671872763788743,"Medium-High"
"0021-IKXGC",7.06243391679123,8.30880920493113e-05,"High"
"0022-TCJCI",2.21210985814142,0.0248044419474306,"Medium-Low"
"0023-HGHWL",6.46197119487359,8.30880920493113e-05,"High"
"0023-UYUPN",1.71650339092519,0.0497361904474097,"Medium-Low"
"0023-XUOPT",7.06839655791543,0.000644797027832564,"High"
"0027-KWYKW",5.659700506798,0.00185926437976301,"Medium-High"
"0030-FNXPP",4.72174161367804,0.000155012759831811,"Medium-High"
"0031-PVLZI",4.90115110335676,0.00019389091528012,"Medium-High"
"0032-PGELS",5.93048953703374,8.30880920493113e-05,"Medium-High"
"0036-IHMOT",-3.50765923932021,0.0979244248283692,"Low"
"0040-HALCW",-1.69789015830979,0.0870621981502741,"Low"
"0042-JVWOJ",2.81628600383262,0.00269695991635069,"Medium-Low"
"0042-RLHYP",-2.88617501393344,0.824587244528871,"Low"
"0048-LUMLS",1.95096952663026,0.00964238043418027,"Medium-Low"
"0048-PIHNL",0.367244012018335,0.044269807298813,"Medium-Low"
"0052-DCKON",-6.42635632187558,0.439030039831265,"Low"
"0052-YNYOT",1.04192758478019,0.528869253418018,"Medium-Low"
"0056-EPFBG",0.481144037491563,0.00136741125493559,"Medium-Low"
"0057-QBUQH",-0.774496148700389,0.0217729252904675,"Medium-Low"
"0058-EVZWM",0.918383320929314,0.0979244248283692,"Medium-Low"
"0060-FUALY",-0.169932534564487,0.170573473668853,"Medium-Low"
"0064-SUDOG",0.0415506344629935,0.000561662870984387,"Medium-Low"
"0064-YIJGF",3.84369917755306,0.00294871628029476,"Medium-High"
"0067-DKWBL",7.33242146113879,0.000120099134806493,"High"
"0068-FIGTF",3.31228193918004,0.00294871628029476,"Medium-High"
"0071-NDAFP",-0.18030006104255,0.00245382367073053,"Medium-Low"
"0074-HDKDG",2.60437554267135,0.00245382367073053,"Medium-Low"
"0076-LVEPS",5.26943415454447,0.00359296251579392,"Medium-High"
"0078-XZMHT",-7.16684007557579,2.17888442246913,"Low"
"0080-EMYVY",4.84972815799748,0.000707292687873374,"Medium-High"
"0080-OROZO",2.31240770116666,0.00764092624331836,"Medium-Low"
"0082-LDZUE",6.8920360224037,8.30880920493113e-05,"High"
"0082-OQIQY",5.39907421913852,0.00359296251579392,"Medium-High"
"0083-PIVIK",-2.01760805372254,0.281815334617434,"Low"
"0089-IIQKO",3.31275186822278,0.0124563580987947,"Medium-High"
"0093-EXYQL",-0.570948816008964,0.0140992308233096,"Medium-Low"
"0093-XWZFY",3.48742190874225,0.0140992308233096,"Medium-High"
"0094-OIFMO",7.95604386797225,0.00049297092315797,"High"
"0096-BXERS",4.32204564827935,0.000256739623070878,"Medium-High"
"0096-FCPUF",4.95210257265948,0.00407019049882884,"Medium-High"
"0098-BOWSO",4.10668866621444,0.00294871628029476,"Medium-High"
"0100-DUVFC",-4.02182639140576,1.16139422064449,"Low"
"0103-CSITQ",-4.00263849677342,0.126583284513825,"Low"
"0104-PPXDV",-1.39495247977291,0.150809866021979,"Low"
"0106-GHRQR",6.11327479893418,0.000918530586474259,"High"
"0106-UGRDO",-7.51784145122237,0.824587244528871,"Low"
"0107-WESLM",4.97135419012528,8.30880920493113e-05,"Medium-High"
"0107-YHINA",9.69852439658873,8.30880920493113e-05,"High"
"0111-KLBQG",1.26208644955177,0.0054137009768409,"Medium-Low"
"0112-QAWRZ",4.80978309595328,0.000918530586474259,"Medium-High"
"0112-QWPNC",0.328402017335466,0.044269807298813,"Medium-Low"
"0114-IGABW",-3.27914670886423,1.49816718296528,"Low"
