gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,tenure,internet_service,phone_service,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,number_of_referrals,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,city,zip_code,total_population,latitude,longitude,New_total_services,New_flag_auto_payment,New_avg_service_fee,New_tenure_year_2,New_tenure_year_3,New_tenure_year_4,New_tenure_year_5,New_tenure_year_6,New_contract_type_1,New_contract_type_2,New_family_size_2,New_family_size_3,churn_value
0,-0.14984187862801168,0,0,1,0,0.0,60,1,1,1,0.08333333333333333,1,2,2.6666666666666665,1,1,0,0,0,1,1,2,0,1,1,0.9750862291785486,-0.4802839124086976,1.4101653709238844,0.0,0.0,0.4738366256007069,349,0.9398334704732226,-0.3688463929427785,0.6788155423652373,-0.7127002657757936,1,1,0.8788614457399957,False,False,False,True,False,False,False,True,False,0
1,-0.14984187862801168,0,0,0,1,3.0,12,0,1,0,-0.7083333333333334,0,4,0.0,0,0,0,0,0,0,0,3,2,0,0,-1.5093002860698053,-0.37087767280745915,-0.9126332288773038,0.0,0.0,-0.17373533650735576,554,-1.8603919768131147,0.8704893283206536,-0.8581796066807276,0.7330121602210653,0,1,-1.4731112646596893,False,False,False,False,False,False,True,True,False,0
0,-0.6871821796346748,0,0,0,0,0.0,2,1,1,0,0.3333333333333333,1,0,0.0,1,0,1,0,0,0,0,2,0,1,2,0.5214156481331973,0.806048620654383,-0.945818587701122,0.0,0.0,-0.29505022064958886,989,-0.01134909154017837,-0.28524910452621294,-0.26788411584861604,-0.45609248161934074,1,0,0.2993591443509039,False,False,False,False,False,False,False,False,False,0
1,-0.6871821796346748,0,0,1,0,0.0,33,1,1,0,0.5416666666666666,1,3,2.3333333333333335,1,0,1,0,1,1,1,0,1,0,1,0.3319707901142591,1.676119543873699,0.0763081158590864,0.0,0.0,1.0803664255659027,368,-1.2286042388506462,0.7056037417483201,-0.8347835882692235,0.7013248915740564,1,1,0.057369172342271874,False,True,False,False,False,True,False,True,False,0
0,0.38749842237865134,0,0,0,1,1.0,14,1,1,1,0.20833333333333334,1,4,0.0,1,0,0,1,0,0,0,2,0,1,3,0.7058751151516368,1.6029662594065988,-0.49263103126335506,0.0,0.0,0.23795351410684892,52,-0.0334320389028904,-0.49560403777271245,-0.4094417943106072,-0.4510206989957065,1,0,0.5349809592014138,True,False,False,False,False,False,False,True,False,0
0,-0.508068745965787,0,0,1,1,1.0,72,1,1,0,0.08333333333333333,1,0,1.0,1,1,1,1,1,1,1,2,2,1,1,1.4869197052297147,0.6001836254283842,2.460005379459303,0.0,0.0,1.7126513201047697,367,0.9403720789454839,-0.5190195672123383,0.8753442843606152,-0.3818553427167083,1,1,1.5326589139738436,False,False,False,False,True,False,True,False,True,0
1,0.38749842237865134,0,0,1,0,0.0,30,1,1,0,-0.4583333333333333,1,3,3.3333333333333335,0,0,1,0,0,0,0,1,0,1,3,-0.4906187249679718,0.013015227095110982,-0.3554545845827183,0.0,0.0,0.26179884075301973,67,1.3583322534202287,-0.49302862555874605,1.8330215477090825,-1.0922400580262168,1,0,-0.9933767587478403,False,True,False,False,False,False,False,True,False,0
1,-0.8662956133035624,0,0,0,0,0.0,5,0,1,0,-0.7083333333333334,0,0,0.0,0,0,0,0,0,0,0,3,0,1,3,-1.5126238800701375,-0.1261702256520265,-0.9683466803601103,0.0,0.0,-0.26450285795877937,368,-1.2275270219061238,-0.2276427577632397,-0.8162325252104806,0.6933950670674155,0,0,-1.4816021408705187,False,False,False,False,False,False,False,False,False,0
1,1.9398148475090113,0,1,1,0,0.0,69,1,0,0,-0.20833333333333334,0,1,3.3333333333333335,1,1,0,0,1,1,1,1,2,0,1,-0.2729233179462098,-1.4863034173810314,0.7379632721422218,0.0,40.0,-0.3582510452409744,513,0.02635350151811046,1.1912021550575767,-0.6014156058702567,0.8666628698125947,0,1,1.6854946857687687,False,False,False,False,True,False,True,True,False,0
1,-0.508068745965787,0,0,1,0,0.0,58,1,1,1,-0.625,0,2,1.0,1,1,1,0,1,1,1,1,2,1,2,0.7091987091519689,-0.05301694118492635,1.1518314739097468,0.0,110.0,0.7877168010494799,145,0.9371404281119163,-0.5174210354933246,0.8248795437349651,-0.512926062575295,1,0,0.5392263973068281,False,False,False,True,False,False,True,True,False,0
1,-1.4036359143102255,1,0,1,1,9.0,21,1,0,0,1.75,1,4,0.3333333333333333,0,0,0,0,0,0,0,1,0,1,2,-1.286619488047545,-1.4863034173810314,-0.7566576294587063,0.0,0.0,-0.3582510452409744,849,-0.019428218624097403,-0.49980758414493354,-0.08159860025241374,-0.5089265678759303,0,0,-0.9042225585341337,True,False,False,False,False,False,False,False,True,0
0,0.7457252897164267,0,0,0,1,1.0,21,1,0,0,-0.25,1,0,0.0,1,1,1,1,1,0,0,1,2,0,3,-0.3859255139575061,-1.4863034173810314,-0.48418023842457686,19.13,0.0,-0.3582510452409744,734,-1.2824650860767732,-0.21612740889849325,-0.833617007597379,0.7380844070386049,0,0,1.3968048946005764,True,False,False,False,False,False,True,True,False,0
0,0.8054297676060559,0,0,1,0,0.0,53,0,1,0,-0.7083333333333334,0,2,2.0,0,0,0,0,0,0,0,3,1,1,0,-1.4926823160681442,-0.7515337017159099,-0.5476163465485644,14.67,0.0,0.17858114951965764,592,-0.1271499130763512,-0.2004973209792487,-0.21491365715489785,0.2645750571094176,0,1,-1.4306568836055433,False,False,False,True,False,True,False,True,False,0
1,0.6263163339371682,0,0,0,0,0.0,72,0,1,0,-0.7083333333333334,0,0,0.0,0,0,0,0,0,0,0,3,2,0,0,-1.5109620830699715,1.4754335422382914,-0.3819763939618602,0.0,0.0,2.581363699238324,70,0.772326235599968,-0.13288534975281963,0.6838164468703088,-1.2588457498237093,0,1,-1.477356702765104,False,False,False,False,True,False,True,False,False,0
1,0.6860208118267975,0,0,0,1,1.0,54,1,1,0,-0.25,0,0,0.0,1,1,0,1,1,1,1,2,1,1,2,1.3656085242175875,-0.13134921924261778,1.564949474746414,0.0,10.0,0.6503741449549554,1037,1.0227791752014581,-0.511530150084367,0.5718028289855406,-0.699399717769657,1,0,1.3777004231262107,False,False,False,True,False,True,False,True,False,0
1,-0.3886597901865286,0,0,0,0,0.0,20,1,1,0,0.041666666666666664,1,0,0.0,1,1,1,1,1,1,1,2,0,1,0,1.4437129832253957,-0.44726782826867884,-0.03383903257741666,0.0,0.0,-0.07178585611594256,176,1.0421690802028638,-0.47301737663183446,0.9645970221996645,-1.5952934933355905,1,1,1.4774682186034538,True,False,False,False,False,False,False,False,False,0
1,-0.5677732238554163,0,0,1,1,3.0,60,0,1,0,-0.7083333333333334,0,2,1.3333333333333333,0,0,0,0,0,0,0,3,2,0,3,-1.4694171580658184,-0.4731627962216347,-0.47453794998973076,0.0,0.0,0.4797265640686981,684,0.08560043346685005,-0.5145199964477073,0.38183205264195896,0.046229848287118895,0,0,-1.371220750129739,False,False,False,True,False,False,True,False,True,0
1,0.14868051082013445,0,0,1,1,2.0,25,0,1,0,-0.7083333333333334,0,0,1.6666666666666667,0,0,0,0,0,0,0,3,0,1,3,-1.51594747407047,-0.2504660718262146,-0.7955577541969986,0.0,0.0,0.06765397503915471,884,-0.20309370766519014,-0.19442882093484504,-0.7255478906092879,0.013808689073763335,0,0,-1.490093017081348,False,True,False,False,False,False,False,False,True,0
1,0.029271555040876,0,0,0,0,0.0,54,1,0,0,-0.2916666666666667,1,0,0.0,1,0,0,1,1,0,0,0,2,0,1,-0.6501512369839195,-1.4863034173810314,0.07950750218186142,0.0,0.0,-0.3582510452409744,800,-0.751397132427162,-0.4879074035700542,-1.2977783936625882,1.1834914578615485,0,1,0.7217802358396562,False,False,False,True,False,False,True,False,False,0
1,-0.6274777017450455,0,0,1,0,0.0,15,0,1,0,-0.7083333333333334,0,0,1.6666666666666667,0,0,0,0,0,0,0,3,1,0,3,-1.5275800530716328,-0.5625004356593324,-0.8761602247976685,0.0,0.0,-0.16722963174498354,157,-0.795563027152586,0.7580296616441194,-1.2554663506696566,1.1597795047240322,0,0,-1.51981108381925,True,False,False,False,False,True,False,True,False,0
